ID,AGE,EDUCATION,OCC,PINCODE,PROD_CATEGORY,INCOME_SEGMENT,PROSPERITY_INDEX_BAND,QUALITY_SCORE_BAND,ISSUANCE_MONTH
9354,27,masters_plus,salaried_pvt,495001,trad,5,High,6,Mar-22
7823,58,graduate_plus,salaried_govt,272001,ulip,4,Medium,5,Dec-21
6170,52,masters_plus,salaried_govt,721101,trad,5,High,5,Aug-21
9199,52,higher_secondary,business,712612,trad,3,Medium,2,Mar-22
9981,34,graduate_plus,salaried_pvt,110085,ulip,6,Very_high,6,Mar-22
7972,62,missing,missing,311001,trad,3,High,2,Dec-21
5184,29,graduate_plus,salaried_pvt,416416,term,5,High,5,Apr-21
8286,38,graduate_plus,business,522647,trad,4,High,4,Jan-22
9788,55,graduate_plus,salaried_pvt,500075,ulip,7,Very_high,5,Mar-22
8806,41,graduate_plus,professional,793011,ulip,4,High,5,Feb-22
9278,33,graduate_plus,salaried_pvt,110057,trad,4,Very_high,6,Mar-22
9550,60,higher_secondary,business,395001,trad,6,Very_high,3,Mar-22
8946,47,matriculation,business,743504,trad,1,Low,2,Feb-22
9791,42,graduate_plus,agriculture,486331,trad,3,Medium,3,Mar-22
7969,41,masters_plus,salaried_pvt,201301,trad,10,Very_high,6,Dec-21
7283,59,graduate_plus,salaried_govt,211002,trad,5,Medium,5,Oct-21
5879,28,graduate_plus,salaried_pvt,733153,trad,3,Missing,4,Jul-21
7305,48,matriculation,business,768203,ulip,5,Very_high,3,Nov-21
8283,60,missing,retired,380059,trad,4,Very_high,3,Jan-22
9953,54,graduate_plus,salaried_pvt,400028,trad,6,Very_high,5,Mar-22
8328,30,graduate_plus,business,110008,trad,5,Very_high,5,Jan-22
7263,53,graduate_plus,salaried_govt,180001,ulip,4,High,5,Oct-21
5516,24,graduate_plus,salaried_pvt,600073,trad,5,Very_high,6,Jun-21
9932,43,masters_plus,business,110022,trad,5,Missing,3,Mar-22
5906,53,graduate_plus,business,207001,ulip,7,Very_low,3,Jul-21
5494,35,missing,missing,121001,term,4,High,3,Jun-21
7980,48,higher_secondary,salaried_govt,207505,trad,3,Missing,3,Dec-21
9036,30,masters_plus,salaried_pvt,121006,ulip,6,Very_high,6,Feb-22
9876,31,graduate_plus,agriculture,491445,ulip,2,Medium,4,Mar-22
5269,40,graduate_plus,salaried_pvt,301001,term,4,High,5,May-21
9513,41,masters_plus,salaried_govt,484001,trad,5,Missing,4,Mar-22
6399,48,graduate_plus,business,600078,ulip,5,Very_high,4,Aug-21
7478,21,matriculation,agriculture,283114,trad,2,Medium,2,Nov-21
8189,35,masters_plus,salaried_pvt,202390,term,5,Missing,5,Jan-22
7318,54,missing,business,700129,trad,4,Medium,2,Nov-21
